"","DU","Year","Abd"
"1","Stock1",1954,NA
"2","Stock1",1955,NA
"3","Stock1",1956,NA
"4","Stock1",1957,NA
"5","Stock1",1958,NA
"6","Stock1",1959,NA
"7","Stock1",1960,7850.563844
"8","Stock1",1961,29719.9917
"9","Stock1",1962,22306.81641
"10","Stock1",1963,20187.16417
"11","Stock1",1964,4261.734658
"12","Stock1",1965,17719.84411
"13","Stock1",1966,18841.35323
"14","Stock1",1967,28037.72801
"15","Stock1",1968,33645.27362
"16","Stock1",1969,6729.054724
"17","Stock1",1970,5046.791043
"18","Stock1",1971,2579.470977
"19","Stock1",1972,8972.072965
"20","Stock1",1973,8972.072965
"21","Stock1",1974,3925.281922
"22","Stock1",1975,1345.810945
"23","Stock1",1976,6729.054724
"24","Stock1",1977,15701.12769
"25","Stock1",1978,20187.16417
"26","Stock1",1979,20187.16417
"27","Stock1",1980,33645.27362
"28","Stock1",1981,2018.716417
"29","Stock1",1982,10654.33665
"30","Stock1",1983,14579.61857
"31","Stock1",1984,8972.072965
"32","Stock1",1985,8972.072965
"33","Stock1",1986,23551.69153
"34","Stock1",1987,11215.09121
"35","Stock1",1988,14579.61857
"36","Stock1",1989,16746.66022
"37","Stock1",1990,11215.09121
"38","Stock1",1991,24673.20065
"39","Stock1",1992,17944.14593
"40","Stock1",1993,16822.63681
"41","Stock1",1994,14579.61857
"42","Stock1",1995,19065.65505
"43","Stock1",1996,28037.72801
"44","Stock1",1997,26916.21889
"45","Stock1",1998,12336.60033
"46","Stock1",1999,2243.018241
"47","Stock1",2000,6953.356548
"48","Stock1",2001,12112.2985
"49","Stock1",2002,4486.036482
"50","Stock1",2003,30280.74626
"51","Stock1",2004,NA
"52","Stock1",2005,13734.19325
"53","Stock1",2006,5383.243779
"54","Stock1",2007,24673.20065
"55","Stock1",2008,1168.86751
"56","Stock1",2009,24112.44609
"57","Stock1",2010,37794.85736
"58","Stock1",2011,23327.38971
"59","Stock1",2012,36785.49916
"60","Stock1",2013,19962.86235
"61","Stock1",2014,6370.171805
"62","Stock1",2015,18841.35323
"63","Stock1",2016,27230.24145
"64","Stock1",2017,5607.545603
"65","Stock23",1955,NA
"66","Stock23",1956,NA
"67","Stock23",1957,NA
"68","Stock23",1958,NA
"69","Stock23",1959,NA
"70","Stock23",1960,NA
"71","Stock23",1961,600
"72","Stock23",1962,NA
"73","Stock23",1963,NA
"74","Stock23",1964,500
"75","Stock23",1965,NA
"76","Stock23",1966,600
"77","Stock23",1967,NA
"78","Stock23",1968,600
"79","Stock23",1969,NA
"80","Stock23",1970,100
"81","Stock23",1972,100
"82","Stock23",1973,600
"83","Stock23",1974,2
"84","Stock23",1975,NA
"85","Stock23",1976,NA
"86","Stock23",1977,NA
"87","Stock23",1978,600
"88","Stock23",1979,100
"89","Stock23",1980,100
"90","Stock23",1981,NA
"91","Stock23",1982,NA
"92","Stock23",1983,NA
"93","Stock23",1984,NA
"94","Stock23",1985,NA
"95","Stock23",1986,NA
"96","Stock23",1987,100
"97","Stock23",1988,NA
"98","Stock23",1989,NA
"99","Stock23",1990,260
"100","Stock23",1992,800
"101","Stock23",1993,700
"102","Stock23",1994,NA
"103","Stock23",1995,NA
"104","Stock23",1996,NA
"105","Stock23",1997,NA
"106","Stock23",1998,NA
"107","Stock23",1999,400
"108","Stock23",2000,600
"109","Stock23",2001,1400
"110","Stock23",2002,NA
"111","Stock23",2003,NA
"112","Stock23",2004,NA
"113","Stock23",2005,250
"114","Stock23",2006,NA
"115","Stock23",2007,320
"116","Stock23",2008,114
"117","Stock23",2009,780
"118","Stock23",2010,1020
"119","Stock23",2011,964
"120","Stock23",2012,2860
"121","Stock23",2013,550
"122","Stock23",2014,3126
"123","Stock23",2015,766
"124","Stock23",2017,2262
"125","Stock2",1960,42484.86364
"126","Stock2",1961,133007.0186
"127","Stock2",1962,21586.8425
"128","Stock2",1963,77001.76097
"129","Stock2",1964,68408.8136
"130","Stock2",1965,29888.49784
"131","Stock2",1966,31977.04506
"132","Stock2",1967,95241.71482
"133","Stock2",1968,62457.16289
"134","Stock2",1969,89904.93818
"135","Stock2",1970,82163.63349
"136","Stock2",1971,34049.06011
"137","Stock2",1972,52692.14185
"138","Stock2",1973,140252.6508
"139","Stock2",1974,109850.7509
"140","Stock2",1975,60352.60041
"141","Stock2",1976,13335.83037
"142","Stock2",1977,54679.10412
"143","Stock2",1978,32031.53105
"144","Stock2",1979,42454.92924
"145","Stock2",1980,31679.46519
"146","Stock2",1981,46466.07316
"147","Stock2",1982,93630.30261
"148","Stock2",1983,26965.08859
"149","Stock2",1984,26503.0687
"150","Stock2",1985,75649.39542
"151","Stock2",1986,26864.92035
"152","Stock2",1987,38205.99781
"153","Stock2",1988,42434.7788
"154","Stock2",1989,18412.34583
"155","Stock2",1990,21328.18518
"156","Stock2",1991,58719.05892
"157","Stock2",1992,52358.40232
"158","Stock2",1993,16646.26196
"159","Stock2",1994,25124.28503
"160","Stock2",1995,79679.07233
"161","Stock2",1996,60908.54906
"162","Stock2",1997,92244.94577
"163","Stock2",1998,43130.46314
"164","Stock2",1999,63692.09022
"165","Stock2",2000,84557.61981
"166","Stock2",2001,232802.4918
"167","Stock2",2002,29323.9913
"168","Stock2",2003,55028.42071
"169","Stock2",2004,39546.46709
"170","Stock2",2005,25140.85209
"171","Stock2",2006,40873.873
"172","Stock2",2007,52862.30583
"173","Stock2",2008,28667.49528
"174","Stock2",2009,20503.14886
"175","Stock2",2010,20454.52714
"176","Stock2",2011,64621.8148
"177","Stock2",2012,60983.03607
"178","Stock2",2013,8759.596648
"179","Stock2",2014,25328
"180","Stock2",2015,52238.52758
"181","Stock2",2016,41607.04671
"182","Stock2",2017,28035.6678
"183","Stock3",1960,112920.2955
"184","Stock3",1961,467456.7196
"185","Stock3",1962,354596.5483
"186","Stock3",1963,193635.9131
"187","Stock3",1964,396889.3866
"188","Stock3",1965,313241.8987
"189","Stock3",1966,243131.2517
"190","Stock3",1967,296654.5216
"191","Stock3",1968,267415.4322
"192","Stock3",1969,345341.7574
"193","Stock3",1970,327829.8049
"194","Stock3",1971,436875.6328
"195","Stock3",1972,309503.8948
"196","Stock3",1973,236140.2913
"197","Stock3",1974,291444.2836
"198","Stock3",1975,118485.163
"199","Stock3",1976,163137.0625
"200","Stock3",1977,199710.9783
"201","Stock3",1978,57401.78244
"202","Stock3",1979,357449.2278
"203","Stock3",1980,197030.5175
"204","Stock3",1981,113331.8857
"205","Stock3",1982,159594.8001
"206","Stock3",1983,103026.9894
"207","Stock3",1984,204447.1039
"208","Stock3",1985,623637.3576
"209","Stock3",1986,167437.178
"210","Stock3",1987,237400.0832
"211","Stock3",1988,241974.29
"212","Stock3",1989,132562.83
"213","Stock3",1990,198864.1975
"214","Stock3",1991,432582.0934
"215","Stock3",1992,582914.3116
"216","Stock3",1993,595377.2527
"217","Stock3",1994,132299.3946
"218","Stock3",1995,69505.93146
"219","Stock3",1996,143305.4368
"220","Stock3",1997,129974.7626
"221","Stock3",1998,97880.26042
"222","Stock3",1999,155039.5077
"223","Stock3",2000,185019.5173
"224","Stock3",2001,617400.8519
"225","Stock3",2002,130726.3807
"226","Stock3",2003,99284.4758
"227","Stock3",2004,249231.3465
"228","Stock3",2005,163177.6669
"229","Stock3",2006,137660.391
"230","Stock3",2007,100762.0793
"231","Stock3",2008,93158.20872
"232","Stock3",2009,93791.00011
"233","Stock3",2010,74125.69651
"234","Stock3",2011,152998.1381
"235","Stock3",2012,112217.6013
"236","Stock3",2013,39601.50154
"237","Stock3",2014,133874
"238","Stock3",2015,140168.4127
"239","Stock3",2016,164716.015
"240","Stock3",2017,84731.66132
"241","Stock4",1955,NA
"242","Stock4",1956,NA
"243","Stock4",1957,NA
"244","Stock4",1958,NA
"245","Stock4",1959,NA
"246","Stock4",1960,12298.25
"247","Stock4",1961,33656.88381
"248","Stock4",1962,16827.78356
"249","Stock4",1963,56280.35686
"250","Stock4",1964,35959.77664
"251","Stock4",1965,11093.98391
"252","Stock4",1966,15195.70323
"253","Stock4",1967,24200.7636
"254","Stock4",1968,55410.40488
"255","Stock4",1969,32575.30443
"256","Stock4",1970,7422.56162
"257","Stock4",1971,8381.307104
"258","Stock4",1972,10276.9633
"259","Stock4",1973,32178.70291
"260","Stock4",1974,38188.61054
"261","Stock4",1975,28685.88157
"262","Stock4",1976,8021.552103
"263","Stock4",1977,15573.16257
"264","Stock4",1978,3930.731507
"265","Stock4",1979,21765.48792
"266","Stock4",1980,11165.6623
"267","Stock4",1981,7177.686097
"268","Stock4",1982,4826.942237
"269","Stock4",1983,8903.566987
"270","Stock4",1984,8065.072405
"271","Stock4",1985,17228.89198
"272","Stock4",1986,3873.546655
"273","Stock4",1987,15785.56397
"274","Stock4",1988,23458.57621
"275","Stock4",1989,7701.269171
"276","Stock4",1990,7395.262344
"277","Stock4",1991,24980.09272
"278","Stock4",1992,8426.286088
"279","Stock4",1993,21962.13029
"280","Stock4",1994,7559.965404
"281","Stock4",1995,6555.041209
"282","Stock4",1996,7975.259094
"283","Stock4",1997,34659.93668
"284","Stock4",1998,16544.92144
"285","Stock4",1999,22945.84713
"286","Stock4",2000,19982.10787
"287","Stock4",2001,47818.30128
"288","Stock4",2002,24572.62796
"289","Stock4",2003,83150.74848
"290","Stock4",2004,51747.18636
"291","Stock4",2005,31371.48103
"292","Stock4",2006,12514.581
"293","Stock4",2007,12595.25991
"294","Stock4",2008,12743.941
"295","Stock4",2009,18341.09602
"296","Stock4",2010,6065.421348
"297","Stock4",2011,43110.49213
"298","Stock4",2012,82348.20759
"299","Stock4",2013,7959.90181
"300","Stock4",2014,7178.953979
"301","Stock4",2015,68420.70475
"302","Stock4",2016,39539.93828
"303","Stock4",2017,21094.31589
"304","Stock5",1954,NA
"305","Stock5",1955,NA
"306","Stock5",1956,NA
"307","Stock5",1957,NA
"308","Stock5",1958,NA
"309","Stock5",1959,NA
"310","Stock5",1960,3824.5064
"311","Stock5",1961,3331.802629
"312","Stock5",1962,5061.266001
"313","Stock5",1963,9994.261693
"314","Stock5",1964,7851.814429
"315","Stock5",1965,2679.156221
"316","Stock5",1966,1325.907215
"317","Stock5",1967,2361.266001
"318","Stock5",1968,2461.266001
"319","Stock5",1969,NA
"320","Stock5",1970,1666.919902
"321","Stock5",1971,606.5496394
"322","Stock5",1972,10614.61869
"323","Stock5",1973,19163.74098
"324","Stock5",1974,NA
"325","Stock5",1975,2251.63741
"326","Stock5",1976,200
"327","Stock5",1977,NA
"328","Stock5",1978,2712.236319
"329","Stock5",1979,2350.379853
"330","Stock5",1980,1992.48254
"331","Stock5",1981,1026.767961
"332","Stock5",1982,NA
"333","Stock5",1983,NA
"334","Stock5",1984,600
"335","Stock5",1985,2656.643387
"336","Stock5",1986,2000
"337","Stock5",1987,11283.21693
"338","Stock5",1988,6984.96508
"339","Stock5",1989,1610.82195
"340","Stock5",1990,2196.993016
"341","Stock5",1991,7292.48254
"342","Stock5",1992,4856.643387
"343","Stock5",1993,5328.321693
"344","Stock5",1994,NA
"345","Stock5",1995,10626.57355
"346","Stock5",1996,6469.930161
"347","Stock5",1997,3632.832169
"348","Stock5",1998,1531.328677
"349","Stock5",1999,9313.286774
"350","Stock5",2000,5174.121063
"351","Stock5",2001,3780.590797
"352","Stock5",2002,600
"353","Stock5",2003,11309.42372
"354","Stock5",2004,2980.590797
"355","Stock5",2005,NA
"356","Stock5",2006,NA
"357","Stock5",2007,NA
"358","Stock5",2008,6106
"359","Stock5",2009,6903.181595
"360","Stock5",2010,4123.473426
"361","Stock5",2011,7181.976998
"362","Stock5",2012,8600
"363","Stock5",2013,5995.576516
"364","Stock5",2014,NA
"365","Stock5",2015,NA
"366","Stock5",2016,NA
"367","Stock5",2017,13786
"368","Stock6",1975,NA
"369","Stock6",1976,NA
"370","Stock6",1977,NA
"371","Stock6",1978,NA
"372","Stock6",1979,NA
"373","Stock6",1980,NA
"374","Stock6",1981,NA
"375","Stock6",1982,5000
"376","Stock6",1983,500
"377","Stock6",1984,1000
"378","Stock6",1985,15000
"379","Stock6",1986,10000
"380","Stock6",1987,2000
"381","Stock6",1988,2000
"382","Stock6",1989,5000
"383","Stock6",1990,4000
"384","Stock6",1991,3000
"385","Stock6",1992,4500
"386","Stock6",1993,6000
"387","Stock6",1994,6000
"388","Stock6",1995,1000
"389","Stock6",1996,1000
"390","Stock6",1997,3000
"391","Stock6",1998,5000
"392","Stock6",1999,1200
"393","Stock6",2000,500
"394","Stock6",2001,NA
"395","Stock6",2002,NA
"396","Stock6",2003,NA
"397","Stock6",2004,NA
"398","Stock6",2005,505
"399","Stock6",2006,1701
"400","Stock6",2007,2067
"401","Stock6",2008,2000
"402","Stock6",2009,1716
"403","Stock6",2010,1970
"404","Stock6",2011,2996
"405","Stock6",2012,2902
"406","Stock6",2013,2300
"407","Stock6",2014,5557
"408","Stock6",2015,2330
"409","Stock6",2016,4167
"410","Stock7",1960,44720.90909
"411","Stock7",1961,218146.4691
"412","Stock7",1962,99535.8732
"413","Stock7",1963,177106.0181
"414","Stock7",1964,186458.1011
"415","Stock7",1965,176198.568
"416","Stock7",1966,58581
"417","Stock7",1967,135976
"418","Stock7",1968,125287
"419","Stock7",1969,105359
"420","Stock7",1970,195558
"421","Stock7",1971,282801
"422","Stock7",1972,209478
"423","Stock7",1973,237309
"424","Stock7",1974,139211
"425","Stock7",1975,368434.3631
"426","Stock7",1976,288071
"427","Stock7",1977,502031
"428","Stock7",1978,143303
"429","Stock7",1979,416887
"430","Stock7",1980,121208
"431","Stock7",1981,441066
"432","Stock7",1982,319421.3838
"433","Stock7",1983,314944.3587
"434","Stock7",1984,266910.7921
"435","Stock7",1985,301691.3892
"436","Stock7",1986,165481.6594
"437","Stock7",1987,150463.0274
"438","Stock7",1988,322949.6462
"439","Stock7",1989,328463.4303
"440","Stock7",1990,331533.344
"441","Stock7",1991,104022.9016
"442","Stock7",1992,318209.7075
"443","Stock7",1993,260339.4349
"444","Stock7",1994,428140.579
"445","Stock7",1995,393979.993
"446","Stock7",1996,372336.6725
"447","Stock7",1997,320215.5024
"448","Stock7",1998,157127
"449","Stock7",1999,203003.6091
"450","Stock7",2000,586507.5059
"451","Stock7",2001,400411.2576
"452","Stock7",2002,290370.0414
"453","Stock7",2003,460679.8674
"454","Stock7",2004,445304.0577
"455","Stock7",2005,327460
"456","Stock7",2006,461925.1378
"457","Stock7",2007,458005.8579
"458","Stock7",2008,357800.6465
"459","Stock7",2009,317178.4302
"460","Stock7",2010,321952
"461","Stock7",2011,347869.3378
"462","Stock7",2012,337324.0517
"463","Stock7",2013,220714
"464","Stock7",2014,425299.785
"465","Stock7",2015,435158.5813
"466","Stock7",2016,464118.2872
"467","Stock7",2017,372529.8181
"468","Stock8",1965,4
"469","Stock8",1966,50
"470","Stock8",1967,1500
"471","Stock8",1968,1500
"472","Stock8",1969,800
"473","Stock8",1970,7000
"474","Stock8",1971,10000
"475","Stock8",1972,15000
"476","Stock8",1973,6000
"477","Stock8",1974,1500
"478","Stock8",1975,2000
"479","Stock8",1976,6000
"480","Stock8",1977,1000
"481","Stock8",1978,1000
"482","Stock8",1981,1007.272727
"483","Stock8",1982,1007.272727
"484","Stock8",1985,1813.090909
"485","Stock8",1986,705.0909091
"486","Stock8",1987,1208.727273
"487","Stock8",1988,1410.181818
"488","Stock8",1989,604.3636364
"489","Stock8",1991,1225.806452
"490","Stock8",1995,12258.06452
"491","Stock8",1997,8172.043011
"492","Stock8",1999,16344.08602
"493","Stock8",2000,3000
"494","Stock8",2001,9000
"495","Stock8",2002,4000
"496","Stock8",2003,10100
"497","Stock9",1954,NA
"498","Stock9",1955,NA
"499","Stock9",1956,NA
"500","Stock9",1957,NA
"501","Stock9",1958,NA
"502","Stock9",1959,NA
"503","Stock9",1960,923.9216685
"504","Stock9",1961,2463.791116
"505","Stock9",1962,2463.791116
"506","Stock9",1963,2225.523251
"507","Stock9",1964,1669.142438
"508","Stock9",1965,3285.054821
"509","Stock9",1966,1745.185374
"510","Stock9",1967,3182.396858
"511","Stock9",1968,1950.5013
"512","Stock9",1969,2463.791116
"513","Stock9",1970,1950.5013
"514","Stock9",1971,2463.791116
"515","Stock9",1972,6980.741495
"516","Stock9",1973,6980.741495
"517","Stock9",1974,6980.741495
"518","Stock9",1975,3901.0026
"519","Stock9",1976,1950.5013
"520","Stock9",1977,6980.741495
"521","Stock9",1978,1950.5013
"522","Stock9",1979,862.3268906
"523","Stock9",1980,923.9216685
"524","Stock9",1981,718.6057422
"525","Stock9",1982,1129.237595
"526","Stock9",1983,903.3900759
"527","Stock9",1984,1169.484183
"528","Stock9",1985,2338.968365
"529","Stock9",1986,2338.968365
"530","Stock9",1987,4677.936731
"531","Stock9",1988,2806.762038
"532","Stock9",1989,4210.143058
"533","Stock9",1990,7016.905096
"534","Stock9",1991,7016.905096
"535","Stock9",1992,18711.74692
"536","Stock9",1993,16372.77856
"537","Stock9",1994,25728.65202
"538","Stock9",1995,22804.94156
"539","Stock9",1996,8888.079788
"540","Stock9",1997,17074.46907
"541","Stock9",1998,18243.95325
"542","Stock9",1999,NA
"543","Stock9",2000,20695.84537
"544","Stock9",2001,12355.91245
"545","Stock9",2002,16499.18784
"546","Stock9",2003,42295.08082
"547","Stock9",2004,20814.92861
"548","Stock9",2005,13320.8973
"549","Stock9",2006,14187.33051
"550","Stock9",2007,18560.55974
"551","Stock9",2008,22872.19419
"552","Stock9",2009,29089.16044
"553","Stock9",2010,45444.62713
"554","Stock9",2011,27799.77643
"555","Stock9",2012,45062.73951
"556","Stock9",2013,NA
"557","Stock9",2014,29375.12401
"558","Stock9",2015,25359.12491
"559","Stock9",2016,24616.35392
"560","Stock9",2017,29857.71533
"561","Stock10",1954,NA
"562","Stock10",1955,NA
"563","Stock10",1956,NA
"564","Stock10",1957,NA
"565","Stock10",1958,NA
"566","Stock10",1959,NA
"567","Stock10",1960,800
"568","Stock10",1961,400
"569","Stock10",1962,400
"570","Stock10",1963,NA
"571","Stock10",1964,400
"572","Stock10",1965,800
"573","Stock10",1966,400
"574","Stock10",1968,400
"575","Stock10",1971,NA
"576","Stock10",1972,NA
"577","Stock10",1973,NA
"578","Stock10",1974,NA
"579","Stock10",1975,NA
"580","Stock10",1976,NA
"581","Stock10",1977,50
"582","Stock10",1978,150
"583","Stock10",1979,NA
"584","Stock10",1980,200
"585","Stock10",1981,NA
"586","Stock10",1982,NA
"587","Stock10",1984,NA
"588","Stock10",1985,4400
"589","Stock10",1986,NA
"590","Stock10",1987,NA
"591","Stock10",1990,1000
"592","Stock10",1994,NA
"593","Stock10",1995,NA
"594","Stock10",1996,NA
"595","Stock10",1997,NA
"596","Stock10",1998,NA
"597","Stock10",1999,NA
"598","Stock10",2000,231
"599","Stock10",2001,221
"600","Stock10",2002,978
"601","Stock10",2003,3377
"602","Stock10",2004,1317
"603","Stock10",2005,937
"604","Stock10",2006,5139
"605","Stock10",2007,245
"606","Stock10",2008,1200
"607","Stock10",2009,3047
"608","Stock10",2010,20804
"609","Stock10",2011,2366
"610","Stock10",2012,5476
"611","Stock10",2013,828
"612","Stock10",2014,13699
"613","Stock10",2015,4636
"614","Stock10",2016,1100
"615","Stock10",2017,357
"616","Stock11",1982,20000
"617","Stock11",1983,2000
"618","Stock11",1984,6000
