"","DU","Year","Abd"
"619","Stock11",1985,15000
"620","Stock11",1986,25000
"621","Stock11",1987,7500
"622","Stock11",1988,2500
"623","Stock11",1989,15000
"624","Stock11",1990,14000
"625","Stock11",1991,2000
"626","Stock11",1992,5000
"627","Stock11",1993,16000
"628","Stock11",1994,6000
"629","Stock11",1995,1500
"630","Stock11",1996,1000
"631","Stock11",1997,9000
"632","Stock11",1998,3500
"633","Stock11",1999,13000
"634","Stock11",2000,500
"635","Stock11",2002,5887
"636","Stock11",2009,107
"637","Stock11",2010,48
"638","Stock11",2011,10273
"639","Stock11",2012,3688
"640","Stock11",2013,398
"641","Stock11",2014,438
"642","Stock11",2015,6888
"643","Stock11",2016,19797
"644","Stock11",2017,7240
"645","Stock12",1954,NA
"646","Stock12",1955,NA
"647","Stock12",1956,NA
"648","Stock12",1957,NA
"649","Stock12",1958,NA
"650","Stock12",1959,NA
"651","Stock12",1960,11352.21662
"652","Stock12",1961,14884.01735
"653","Stock12",1962,17338.82088
"654","Stock12",1963,19929.44696
"655","Stock12",1964,52439.67265
"656","Stock12",1965,87794.59992
"657","Stock12",1966,39886.94555
"658","Stock12",1967,29450.83507
"659","Stock12",1968,24941.6477
"660","Stock12",1969,14221.11492
"661","Stock12",1970,11376.89194
"662","Stock12",1971,6563.591501
"663","Stock12",1972,5797.839159
"664","Stock12",1973,3938.154901
"665","Stock12",1974,5250.873201
"666","Stock12",1975,5688.445968
"667","Stock12",1976,6563.591501
"668","Stock12",1977,5086.783413
"669","Stock12",1978,11814.4647
"670","Stock12",1979,12470.82385
"671","Stock12",1980,29448.6472
"672","Stock12",1981,15971.40599
"673","Stock12",1982,30120.3214
"674","Stock12",1983,19253.20174
"675","Stock12",1984,9517.207677
"676","Stock12",1985,36318.53964
"677","Stock12",1986,8970.241718
"678","Stock12",1987,5305.569797
"679","Stock12",1988,10447.04981
"680","Stock12",1989,7679.402056
"681","Stock12",1990,2691.072515
"682","Stock12",1991,13455.36258
"683","Stock12",1992,10392.35321
"684","Stock12",1993,13674.14896
"685","Stock12",1994,3117.705963
"686","Stock12",1995,27457.69111
"687","Stock12",1996,23683.626
"688","Stock12",1997,3445.885538
"689","Stock12",1998,5377.838761
"690","Stock12",1999,NA
"691","Stock12",2000,NA
"692","Stock12",2001,10335.6754
"693","Stock12",2002,NA
"694","Stock12",2003,NA
"695","Stock12",2004,5909.777629
"696","Stock12",2005,6268.229884
"697","Stock12",2006,3547.915298
"698","Stock12",2007,6585.470139
"699","Stock12",2008,5480.598903
"700","Stock12",2009,7530.627316
"701","Stock12",2010,16034.95817
"702","Stock12",2011,34784.84709
"703","Stock12",2012,27604.27799
"704","Stock12",2013,27294.88032
"705","Stock12",2014,24370.49284
"706","Stock12",2015,4684.700281
"707","Stock12",2016,15931.17915
"708","Stock12",2017,7754.456666
"709","Stock13",1982,2780.19158
"710","Stock13",1983,5560.38316
"711","Stock13",1984,16125.11117
"712","Stock13",1985,16681.14948
"713","Stock13",1986,2780.19158
"714","Stock13",1987,2780.19158
"715","Stock13",1988,2780.19158
"716","Stock13",1989,3614.249054
"717","Stock13",1990,1473.501538
"718","Stock13",1991,1473.501538
"719","Stock13",1992,834.0574741
"720","Stock13",1993,1112.076632
"721","Stock13",1995,5004.344844
"722","Stock13",2001,4170.28737
"723","Stock13",2002,1529.105369
"724","Stock13",2003,7245.179258
"725","Stock13",2004,2752.389664
"726","Stock13",2005,7701.130677
"727","Stock13",2006,2251.95518
"728","Stock13",2007,19739.36022
"729","Stock13",2008,9424.849457
"730","Stock13",2009,25894.70438
"731","Stock13",2010,5763.337146
"732","Stock13",2011,32781.23892
"733","Stock13",2012,20551.17616
"734","Stock13",2013,27899.22251
"735","Stock13",2014,20831.97551
"736","Stock13",2015,55448.14088
"737","Stock13",2016,22936.58054
"738","Stock13",2017,14562.6435
"739","Stock14",1954,NA
"740","Stock14",1955,NA
"741","Stock14",1956,NA
"742","Stock14",1957,NA
"743","Stock14",1958,NA
"744","Stock14",1959,NA
"745","Stock14",1960,1500
"746","Stock14",1961,1500
"747","Stock14",1962,1000
"748","Stock14",1963,1600
"749","Stock14",1964,1000
"750","Stock14",1965,6000
"751","Stock14",1966,8000
"752","Stock14",1967,400
"753","Stock14",1968,5000
"754","Stock14",1969,1944
"755","Stock14",1970,3000
"756","Stock14",1971,2600
"757","Stock14",1972,1200
"758","Stock14",1973,4000
"759","Stock14",1974,3600
"760","Stock14",1975,200
"761","Stock14",1976,NA
"762","Stock14",1977,1200
"763","Stock14",1978,8000
"764","Stock14",1979,2200
"765","Stock14",1980,280
"766","Stock14",1981,3000
"767","Stock14",1982,2000
"768","Stock14",1983,10000
"769","Stock14",1984,1000
"770","Stock14",1985,1200
"771","Stock14",1986,6000
"772","Stock14",1987,6000
"773","Stock14",1988,4000
"774","Stock14",1989,NA
"775","Stock14",1990,3000
"776","Stock14",1991,1200
"777","Stock14",1992,10000
"778","Stock14",1993,15000
"779","Stock14",1996,NA
"780","Stock14",1997,NA
"781","Stock14",1998,NA
"782","Stock14",1999,NA
"783","Stock14",2000,NA
"784","Stock14",2001,NA
"785","Stock14",2002,7072
"786","Stock14",2003,9106
"787","Stock14",2004,6332
"788","Stock14",2005,6888
"789","Stock14",2006,6116
"790","Stock14",2007,3800
"791","Stock14",2008,280
"792","Stock14",2009,3400
"793","Stock14",2010,2980
"794","Stock14",2011,4418
"795","Stock14",2012,3940
"796","Stock14",2013,3320
"797","Stock14",2014,3628
"798","Stock14",2015,9818
"799","Stock14",2017,8942
"800","Stock15",1975,NA
"801","Stock15",1976,NA
"802","Stock15",1977,NA
"803","Stock15",1978,NA
"804","Stock15",1979,NA
"805","Stock15",1980,NA
"806","Stock15",1981,NA
"807","Stock15",1982,250000
"808","Stock15",1983,170000
"809","Stock15",1984,140000
"810","Stock15",1985,288663
"811","Stock15",1986,115543
"812","Stock15",1987,143989
"813","Stock15",1988,116984
"814","Stock15",1989,50000
"815","Stock15",1990,120954
"816","Stock15",1991,250000
"817","Stock15",1992,592118
"818","Stock15",1993,4e+05
"819","Stock15",1994,158010
"820","Stock15",1995,205853
"821","Stock15",1996,182082
"822","Stock15",1997,158687
"823","Stock15",1998,163925
"824","Stock15",1999,180350
"825","Stock15",2000,137042
"826","Stock15",2001,116192
"827","Stock15",2002,332442
"828","Stock15",2003,196852
"829","Stock15",2004,140923
"830","Stock15",2005,142858
"831","Stock15",2006,146954
"832","Stock15",2007,104308
"833","Stock15",2008,150383
"834","Stock15",2009,168404
"835","Stock15",2010,159120
"836","Stock15",2011,167524
"837","Stock15",2012,144923
"838","Stock15",2013,170376
"839","Stock15",2014,144920
"840","Stock15",2015,185917
"841","Stock15",2016,109868
"842","Stock15",2017,119088
"843","Stock16",1954,NA
"844","Stock16",1955,NA
"845","Stock16",1956,NA
"846","Stock16",1957,NA
"847","Stock16",1958,NA
"848","Stock16",1959,NA
"849","Stock16",1960,4197.430047
"850","Stock16",1961,5996.328638
"851","Stock16",1962,3597.797183
"852","Stock16",1963,1199.265728
"853","Stock16",1964,5996.328638
"854","Stock16",1965,11992.65728
"855","Stock16",1966,7195.594366
"856","Stock16",1967,4077.503474
"857","Stock16",1968,3597.797183
"858","Stock16",1969,3957.576901
"859","Stock16",1970,11273.09784
"860","Stock16",1971,7915.153803
"861","Stock16",1972,4317.35662
"862","Stock16",1973,2398.531455
"863","Stock16",1974,2878.237746
"864","Stock16",1975,539.6695775
"865","Stock16",1976,239.8531455
"866","Stock16",1977,1439.118873
"867","Stock16",1978,1199.265728
"868","Stock16",1979,1678.972019
"869","Stock16",1980,959.4125822
"870","Stock16",1981,2398.531455
"871","Stock16",1982,7195.594366
"872","Stock16",1983,9594.125822
"873","Stock16",1984,7195.594366
"874","Stock16",1985,4797.062911
"875","Stock16",1986,7195.594366
"876","Stock16",1987,9594.125822
"877","Stock16",1988,2398.531455
"878","Stock16",1989,13431.77615
"879","Stock16",1990,7195.594366
"880","Stock16",1991,47970.62911
"881","Stock16",1992,32380.17465
"882","Stock16",1993,26383.84601
"883","Stock16",1994,NA
"884","Stock16",1995,41974.30047
"885","Stock16",1996,49169.89484
"886","Stock16",1997,28782.37746
"887","Stock16",1998,7195.594366
"888","Stock16",1999,17988.98592
"889","Stock16",2000,3597.797183
"890","Stock16",2001,4797.062911
"891","Stock16",2002,NA
"892","Stock16",2003,11992.65728
"893","Stock16",2004,9294.30939
"894","Stock16",2005,NA
"895","Stock16",2006,9896.340785
